XM_031949351.1,102-105,FS_INS,+1
XM_031949351.1,222-225,FS_INS,+1
XM_031949351.1,249-252,FS_DEL,-1
XM_031949351.1,306-309,COMPENSATION,FS_4,5
XM_031949351.1,306-309,FS_INS,+1
XM_031949351.1,363-366,FS_DEL,-1
XM_031949351.1,393-396,FS_DEL,-2
XM_031949351.1,444-447,FS_INS,+8
XM_031949351.1,585-588,FS_INS,+2
XM_031949351.1,597-600,FS_DEL,-2
XM_031949351.1,684-687,COMPENSATION,FS_10,11,12
XM_031949351.1,684-687,FS_INS,+1
XM_031949351.1,729-732,FS_INS,+1
XM_031949351.1,765-768,FS_INS,+1
XM_031949351.1,821-821,C,G
XM_031949351.1,822-822,C,A
XM_031949351.1,852-855,FS_DEL,-2
XM_031949351.1,903-906,COMPENSATION,FS_14,15
XM_031949351.1,903-906,FS_INS,+2
XM_031949351.1,930-933,FS_INS,+1
