XM_031962547.1,27-30,FS_INS,+1
XM_031962547.1,175-175,C,T
XM_031962547.1,247-247,C,T
XM_031962547.1,248-248,C,G
XM_031962547.1,375-378,FS_DEL,-2
XM_031962547.1,403-403,G,T
XM_031962547.1,579-582,FS_DEL,-1
XM_031962547.1,729-732,FS_DEL,-1
XM_031962547.1,758-758,C,A
XM_031962547.1,759-759,T,G
XM_031962547.1,912-915,FS_DEL,-1
XM_031962547.1,1041-1044,COMPENSATION,FS_6,7
XM_031962547.1,1041-1044,FS_DEL,-2
XM_031962547.1,1125-1128,FS_INS,+2
XM_031962547.1,1173-1176,FS_INS,+1
XM_031962547.1,1308-1311,FS_INS,+1
XM_031962547.1,1309-1309,C,T
XM_031962547.1,1311-1311,G,A
XM_031962547.1,1311-1314,FS_DEL,-1
