XM_031968364.1	0-3	START_MISSING	---	yes
XM_031968364.1	114-117	FS_INS	+1	No
XM_031968364.1	192-195	COMPENSATION	FS_2	3	4	5	6	7	8	9	yes
XM_031968364.1	192-195	FS_INS	+2	No
XM_031968364.1	346-346	C	T	yes
XM_031968364.1	347-347	G	A	yes
XM_031968364.1	348-348	G	A	yes
XM_031968364.1	420-423	FS_DEL	-1	No
XM_031968364.1	447-450	FS_INS	+1	yes
XM_031968364.1	501-504	FS_INS	+2	No
XM_031968364.1	708-711	FS_INS	+1	yes
XM_031968364.1	738-741	FS_DEL	-1	No
XM_031968364.1	780-783	FS_INS	+1	yes
XM_031968364.1	813-816	FS_INS	+1	yes
XM_031968364.1	873-876	FS_INS	+2	No
XM_031968364.1	874-874	A	T	yes
XM_031968364.1	876-876	C	A	yes
